Carimbo de data/hora,Qual faixa etária você se encaixa?,"Se você tivesse que escolher um computador hoje, quais caminhos você tomaria para realizar sua escolha? ",Você já se frustrou por comprar algum item devido a falta de informações?,Para qual finalidade você usaria seu computador?,Você utiliza um computador com qual frequência?
30/03/2021 19:03:07,21 a 30 anos,Olhando as especificações técnicas do computador.,,,6 ou mais vezes por semana.
17/04/2021 16:18:17,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Não,"Trabalhos, jogos, fazer lives",3 a 5 vezes por semana.
17/04/2021 16:19:11,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Não,estudar e jogar ,6 ou mais vezes por semana.
17/04/2021 16:21:02,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Estudo,Não utilizo um computador.
17/04/2021 16:21:16,21 a 30 anos,Olhando as especificações técnicas do computador.,Sim,Trabalho e jogos,6 ou mais vezes por semana.
17/04/2021 16:24:11,41 anos ou +,Recorreria à alguém com conhecimento na área.,Sim,Hoje nem uma ,Não utilizo um computador.
17/04/2021 16:25:16,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Estudo,6 ou mais vezes por semana.
17/04/2021 16:25:49,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Não,Trabalhar,6 ou mais vezes por semana.
17/04/2021 16:30:38,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Não,Trabalho e jogos.,6 ou mais vezes por semana.
17/04/2021 16:32:17,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,Estudos e trabalhos ,6 ou mais vezes por semana.
17/04/2021 16:33:29,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,Jogos e estudos,6 ou mais vezes por semana.
17/04/2021 16:33:53,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,"Trabalho , estudo ",6 ou mais vezes por semana.
17/04/2021 16:34:07,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Pesquisas ,Não utilizo um computador.
17/04/2021 16:34:18,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Estudo e trabalho,1 a 2 vezes por semana.
17/04/2021 16:36:36,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,faculdade ,6 ou mais vezes por semana.
17/04/2021 16:37:00,14 a 20 anos,Olhando as especificações técnicas do computador.,Não,estudo,6 ou mais vezes por semana.
17/04/2021 16:38:45,14 a 20 anos,"Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Estudar e trabalhar,3 a 5 vezes por semana.
17/04/2021 16:39:31,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Não,"Trabalho,faculdade,filmes...",6 ou mais vezes por semana.
17/04/2021 16:41:00,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,para estudar,1 a 2 vezes por semana.
17/04/2021 16:41:33,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Recorreria à alguém com conhecimento na área.",Sim,Estudo,6 ou mais vezes por semana.
17/04/2021 16:42:38,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,Estudos ,3 a 5 vezes por semana.
17/04/2021 16:44:18,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho ,6 ou mais vezes por semana.
17/04/2021 16:44:33,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Estudo/trabalho,6 ou mais vezes por semana.
17/04/2021 16:46:28,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,escola,3 a 5 vezes por semana.
17/04/2021 16:46:41,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,"Trabalho , estudo ",6 ou mais vezes por semana.
17/04/2021 16:49:35,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador.",Sim,Estudos ,6 ou mais vezes por semana.
17/04/2021 16:50:50,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Não,estudar,3 a 5 vezes por semana.
17/04/2021 16:53:32,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Sim,Planilhas ,1 a 2 vezes por semana.
17/04/2021 16:53:34,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Sim,Para tudo,3 a 5 vezes por semana.
17/04/2021 16:56:32,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,"estudar,lazer",3 a 5 vezes por semana.
17/04/2021 17:02:37,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Trabalho ,6 ou mais vezes por semana.
17/04/2021 17:08:59,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,Estudos,6 ou mais vezes por semana.
17/04/2021 17:11:28,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,Estudar e trabalhar.,3 a 5 vezes por semana.
